station,year,month,day,daily_rainfall_total_mm,highest_30_min_rainfall_mm,highest_60_min_rainfall_mm,highest_120_min_rainfall_mm,mean_temperature_c,maximum_temperature_c,minimum_temperature_c,mean_wind_speed_kmh,max_wind_speed_kmh
Pasir Panjang,2017,1,1,34.0,10.8,20.8,30.6,27.2,31.2,25.2,9.0,31.7
Pasir Panjang,2017,1,2,0.8,0.6,0.6,0.8,26.7,28.6,25.7,7.6,28.8
Pasir Panjang,2017,1,3,0.4,0.4,0.4,0.4,27.3,31.1,25.7,8.6,24.5
Pasir Panjang,2017,1,4,1.8,1.4,1.6,1.6,27.5,30.5,24.5,12.2,41.4
Pasir Panjang,2017,1,5,3.2,2.6,3.2,3.2,28.2,31.4,25.0,10.8,40.3
Pasir Panjang,2017,1,6,0.0,0.0,0.0,0.0,29.0,31.9,26.7,6.8,21.2
Pasir Panjang,2017,1,7,0.0,0.0,0.0,0.0,30.0,32.7,27.5,6.8,21.6
Pasir Panjang,2017,1,8,0.0,0.0,0.0,0.0,29.9,33.0,28.1,9.0,29.9
Pasir Panjang,2017,1,9,0.0,0.0,0.0,0.0,29.3,32.5,27.7,10.1,30.6
Pasir Panjang,2017,1,10,0.0,0.0,0.0,0.0,28.9,32.9,27.0,10.4,28.4
Pasir Panjang,2017,1,11,0.0,0.0,0.0,0.0,28.2,31.4,26.7,11.2,32.0
Pasir Panjang,2017,1,12,0.0,0.0,0.0,0.0,28.6,31.2,26.3,9.4,37.8
Pasir Panjang,2017,1,13,0.0,0.0,0.0,0.0,28.7,32.2,26.9,9.7,31.3
Pasir Panjang,2017,1,14,0.0,0.0,0.0,0.0,28.3,30.2,26.7,9.7,32.0
Pasir Panjang,2017,1,15,0.0,0.0,0.0,0.0,28.8,31.5,27.0,12.6,50.4
Pasir Panjang,2017,1,16,0.0,0.0,0.0,0.0,28.5,30.6,26.4,14.8,39.6
Pasir Panjang,2017,1,17,0.0,0.0,0.0,0.0,28.5,31.1,26.9,7.9,23.8
Pasir Panjang,2017,1,18,1.6,0.8,1.6,1.6,27.5,31.8,26.1,9.4,30.6
Pasir Panjang,2017,1,19,2.4,2.2,2.4,2.4,27.4,31.8,25.3,8.3,34.9
Pasir Panjang,2017,1,20,1.2,1.2,1.2,1.2,26.8,28.9,24.4,11.5,50.4
Pasir Panjang,2017,1,21,7.8,2.6,4.0,4.6,27.1,30.8,24.6,9.4,31.3
Pasir Panjang,2017,1,22,4.8,2.8,3.4,3.4,27.1,30.3,25.0,13.0,45.0
Pasir Panjang,2017,1,23,85.8,22.8,29.6,49.2,25.3,27.5,23.3,9.0,54.4
Pasir Panjang,2017,1,24,9.2,2.0,2.6,3.4,24.6,25.2,24.1,15.1,41.4
Pasir Panjang,2017,1,25,2.2,1.6,2.0,2.2,26.2,29.7,23.7,11.5,41.8
Pasir Panjang,2017,1,26,0.6,0.4,0.4,0.4,27.6,31.5,25.1,10.4,36.0
